"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6203190251249","28.0388553426096","28.5327514907811","29.0867089041879","29.6968586447394","30.3642517065336","31.0607628112284","31.6983869296397","32.2367207672446","32.7063981999654","33.1112137660238","33.3452651755713","33.4294612988811","33.4873910838597","33.540637344666","33.6011233368629","33.6312193775447","35.8763775308124","38.2606847195815","40.7935575874507","43.4845589219851","42.6648311485795","41.851332398317","41.0466805865905","41.2810643975259","41.5316587395957","41.8012329348342","45.0526367511393","46.9010734400611","48.5855466337245","50.0583474029198","51.8627354546796","53.6794249554586","51.5011007662317","48.029581099861","48.0685040545247",
"Bulgaria","BGR","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3819444444444","80.1106753344437","79.8943220490775","79.8021330843538","79.7761704271474","79.752886002886","79.7580017026826","79.4469864874526","79.4052191392369","79.2493106822022","79.1616060584411","82.3942791559989","82.3843067320553","80.3369981735487","80.9158818947816","79.6979596208429","81.0395644786574","80.8765878691007","79.8732999167306","79.327248419628","80.2211075508732","80.9647151654459","81.5973049307517","81.2447688238642","80.6980971599153","81.0583753389563","79.540233739667","80.4384841163021","79.3695627612699","79.4027263415018","78.8725888405728","79.180079835179","80.3981768690258","80.6425613957458","80.6823811426288","80.7799621564414",
"Bahrain","BHR","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7042798905329","33.102585961921","33.879943438398","34.7401328644002","35.6033923440541","36.456789403046","37.3021650307613","38.1409500448134","38.9689015017146","39.7701176637705","40.5531426407413","41.5733816033916","42.8809607229585","44.1740855487932","45.3335146360759","46.2181259600614","46.9618298332867","47.632579163819","48.3217278413785","49.1158359474846","50.1484089183406","49.2345227908698","49.3731184904093","49.5181000691722","49.7776494369044","50.0247995847511","50.0315979363675","49.9661778700084","49.6227390180879","49.0284488623915","48.6736787183835","48.963000820091","49.2508226947044","49.1870248940985","49.3058623816943","49.2529491912287",
"Bahamas, The","BHS","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1408100710168","81.1320518439672","81.1468374898937","81.1798447312466","81.2229543666404","81.7497786957805","82.2598300269349","82.7598089893172","83.253046188722","83.7164254605125","84.1602392959557","84.6088098305421","85.0615965426457","85.5207113856577","85.9861072936708","86.449388906299","86.9118442401298","87.36338625407","87.7894683531482","88.1834461561909","88.5459917976412","88.8958394505368","89.2316744049218","89.5553933059217","89.8716485658234","90.1860405440082","90.5017392085638","90.8204127733854","91.1439351162671","91.4706788538564","91.3743305011077","91.8788561691836","91.1190806725281","91.4881282127259","91.7046761335004","91.6201406790419",
"Bosnia and Herzegovina","BIH","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2133676092545","61.5966362017111","61.8036171202605","61.4778454277974","61.4654478976234","61.3608229191229","61.570229517938","61.9620262619321","62.0901485453371","62.3668406916739","62.6370455856896","62.7427351079246","63.1423046227515","63.1522108056404","63.2375282919418","63.1787171739198","63.3862086227395","63.4825293268929","63.5147652165722","63.2902851224756","63.2812991754264","62.5918640333622","62.4928918935995","62.4658317970885","62.2479766294718","62.2129637048313","62.2063346376181","62.4775176213238","62.605405229078","62.8458172966216","62.6953157992534","63.0153597413096","63.7017323459402","65.2101477962523","65.2798488915399","65.4256560738938",
"Belarus","BLR","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7001170714136","79.5693909484834","79.1887918879189","78.9922515474424","78.7764046451305","78.6798493966974","78.837091386304","79.2043208665872","79.7068873870453","80.1602505625494","80.7819557959301","81.3825148115846","81.8506298740252","82.206458950645","82.4394179340843","82.5926257116457","82.7352229365563","82.8309247273694","82.8840990125159","82.8861208928727","82.8611018894069","82.8301346319106","82.8023120070613","82.7575456993057","82.7215073659232","82.6798951492432","82.6254500450045","81.9408704408145","80.712896053363","81.6559010214519","81.1200179382252","81.5218613015623","81.1039506864668","80.9750800344113","81.2565668039188","81.2634200807352",
"Belize","BLZ","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0990900420179","42.9807481528285","43.9321045775238","44.3240733575795","44.2305459143517","45.6170910395","47.0174501424501","48.4317168374114","50.3818557547908","49.6858049588449","50.3331689615496","50.9825493171472","51.6358715584728","52.2936824132043","52.9528579921325","53.616606790467","54.2823166257622","54.9513531294677","55.6231810704796","56.2971399645659","56.973917447455","57.6526345135211","58.334601531984","59.0174129353234","59.5369404906974","60.7131622985266","61.8938372136996","61.4101706889374","67.3048454313616","69.3796706968832","61.1256023696892","63.3361294512393","59.6565465675198","62.0360596208251","62.8285984577015","64.8678829162072",
"Bermuda","BMU","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.6536150416747","68.1564718832025","68.3806060606061","69.1074376153025","70.0641049033561","70.9627499482131","71.7821661337174","72.6124607624003","72.6284972316135","72.6474201474201","72.666789872482","72.688857587664","72.7108291933546","72.7366446820931","72.7638378681278","72.7911709259791","72.8204678874967","72.8520870460079","72.8860479162472","72.9220287660863","72.9587834931559","72.9970062918612","73.039496279336","73.0809459424985","73.1257754639993","73.1727340362759","73.2209015128126","75.6817658054439","79.448013799655","80.736885725429","81.7789628586162","84.034438307887","84.4968364497543","85.8909159880034","85.8462596651013","86.2966164923791",
"Brazil","BRA","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9672783447243","52.0510600458651","53.7352123297356","55.4595313279043","57.2172102706454","59.0103023137983","59.073674819716","59.8085712881506","61.2042946910098","62.8274258576764","64.6384182903873","66.5732208631375","68.3808879365437","68.9491969185842","69.9864157778225","71.3851677945035","71.3226205191595","71.4969831692601","71.1687684941771","71.9078127780744","70.8572531857382","69.780814415918","69.1783331152689","69.2409526430996","69.4912796445944","70.4315206910671","70.8525284617421","72.3163916977116","72.8903193066332","73.823030820775","70.7978790734308","71.9779466220479","73.1152436541333","72.7679304119481","72.791500230972","72.7957912526748",
